CD,STATUS,REP,DEM,LBT,OTH,TOTALS
1,ACTIVE,89,702,10,616,"1,417"
1,INACTIVE,7,58,0,48,113
3,ACTIVE,"37,331","53,220","1,236","51,495","143,282"
3,INACTIVE,"3,269","4,620",139,"7,842","15,870"
4,ACTIVE,"20,822","8,787",336,"12,878","42,823"
4,INACTIVE,"1,039",537,18,"1,147","2,741"
5,ACTIVE,"245,823","137,632","5,671","175,679","564,805"
5,INACTIVE,"14,452","9,322",479,"17,445","41,698"
6,ACTIVE,"208,516","144,894","5,036","166,507","524,953"
6,INACTIVE,"14,168","11,969",529,"22,203","48,869"
7,ACTIVE,"52,497","164,500","2,952","120,715","340,664"
7,INACTIVE,"6,095","17,200",420,"22,200","45,915"
8,ACTIVE,"228,293","139,058","4,644","165,944","537,939"
8,INACTIVE,"13,835","10,727",394,"19,957","44,913"
9,ACTIVE,"133,199","172,414","5,457","153,056","464,126"
9,INACTIVE,"12,953","19,577",801,"28,391","61,722"
